date,category,branch,channel,so_don,so_khach,doanh_thu,chi_phi
2025-01-01,Gia dụng,Cần Thơ,Online,1,1,833150.0,532234.0
2025-01-01,Gia dụng,Hà Nội,Cửa hàng,2,2,2384000.0,1707268.0
2025-01-01,Gia dụng,Hà Nội,Online,2,2,3135000.0,2228413.0
2025-01-01,Gia dụng,Hải Phòng,Online,4,4,3394450.0,2639899.0
2025-01-01,Gia dụng,TP HCM,Cửa hàng,4,4,5069300.0,4020849.0
2025-01-01,Gia dụng,TP HCM,Online,2,2,2487600.0,1704248.0
2025-01-01,Gia dụng,Đà Nẵng,Cửa hàng,1,1,831000.0,597210.0
2025-01-01,Gia dụng,Đà Nẵng,Online,1,1,890000.0,641856.0
2025-01-01,Mỹ phẩm,Cần Thơ,Cửa hàng,1,1,515000.0,361471.0
2025-01-01,Mỹ phẩm,Hà Nội,Cửa hàng,4,4,3862900.0,2857813.0
2025-01-01,Mỹ phẩm,Hải Phòng,Cửa hàng,1,1,747000.0,482078.0
2025-01-01,Mỹ phẩm,Hải Phòng,Online,1,1,464000.0,381443.0
2025-01-01,Mỹ phẩm,TP HCM,Cửa hàng,5,5,2717050.0,2024426.0
2025-01-01,Mỹ phẩm,TP HCM,Online,3,3,3036000.0,2237715.0
2025-01-01,Mỹ phẩm,Đà Nẵng,Online,1,1,441000.0,349646.0
2025-01-01,Sách,Hà Nội,Cửa hàng,2,2,409500.0,253003.0
2025-01-01,Sách,Hà Nội,Online,1,1,112200.0,81278.0
2025-01-01,Sách,Hải Phòng,Cửa hàng,1,1,680000.0,550189.0
2025-01-01,Sách,Hải Phòng,Online,1,1,338000.0,244848.0
2025-01-01,Sách,TP HCM,Cửa hàng,7,7,1797900.0,1216496.0
2025-01-01,Sách,TP HCM,Online,2,2,481100.0,348449.0
2025-01-01,Sách,Đà Nẵng,Cửa hàng,1,1,315400.0,225797.0
2025-01-01,Thời trang,Cần Thơ,Online,4,4,6278200.0,4843091.0
2025-01-01,Thời trang,Hà Nội,Cửa hàng,2,2,2629200.0,1933957.0
2025-01-01,Thời trang,Hà Nội,Online,3,3,4267450.0,3072406.0
2025-01-01,Thời trang,Hải Phòng,Cửa hàng,1,1,3268000.0,1989180.0
2025-01-01,Thời trang,Hải Phòng,Online,2,2,14375303.0,10127482.0
2025-01-01,Thời trang,TP HCM,Cửa hàng,3,3,5484000.0,3736290.0
2025-01-01,Thời trang,TP HCM,Online,3,3,3885000.0,3183634.0
2025-01-01,Thời trang,Đà Nẵng,Online,1,1,670000.0,414057.0
2025-01-01,Thực phẩm,Cần Thơ,Cửa hàng,2,2,446800.0,305932.0
2025-01-01,Thực phẩm,Cần Thơ,Online,2,2,328200.0,240860.0
2025-01-01,Thực phẩm,Hà Nội,Cửa hàng,3,3,803100.0,647002.0
2025-01-01,Thực phẩm,Hà Nội,Online,7,7,2263300.0,1701536.0
2025-01-01,Thực phẩm,Hải Phòng,Cửa hàng,4,4,1534650.0,1096751.0
2025-01-01,Thực phẩm,Hải Phòng,Online,3,3,1113200.0,776002.0
2025-01-01,Thực phẩm,TP HCM,Cửa hàng,2,2,489800.0,338598.0
2025-01-01,Thực phẩm,TP HCM,Online,5,5,1672200.0,1272283.0
2025-01-01,Thực phẩm,Đà Nẵng,Cửa hàng,1,1,316000.0,196961.0
2025-01-01,Thực phẩm,Đà Nẵng,Online,2,2,1100000.0,825750.0
2025-01-01,Điện tử,Cần Thơ,Cửa hàng,3,3,4127250.0,3180020.0
2025-01-01,Điện tử,Cần Thơ,Online,1,1,6050000.0,4900208.0
2025-01-01,Điện tử,Hà Nội,Cửa hàng,3,3,4125850.0,2986597.0
2025-01-01,Điện tử,Hà Nội,Online,3,3,7496850.0,5404694.0
2025-01-01,Điện tử,Hải Phòng,Cửa hàng,3,3,9059000.0,6656683.0
2025-01-01,Điện tử,TP HCM,Cửa hàng,7,7,8584200.0,6263592.0
2025-01-01,Điện tử,TP HCM,Online,7,7,12628000.0,9176149.0
2025-01-01,Điện tử,Đà Nẵng,Cửa hàng,1,1,4457400.0,3669668.0
2025-01-01,Điện tử,Đà Nẵng,Online,2,2,4362200.0,3335866.0
2025-01-02,Gia dụng,Cần Thơ,Online,2,2,2964000.0,2390054.0
2025-01-02,Gia dụng,Hà Nội,Cửa hàng,4,4,4136000.0,3073831.0
2025-01-02,Gia dụng,Hà Nội,Online,6,6,8999500.0,6856379.0
2025-01-02,Gia dụng,Hải Phòng,Cửa hàng,1,1,761000.0,474382.0
2025-01-02,Gia dụng,Hải Phòng,Online,3,3,4957800.0,3191629.0
2025-01-02,Gia dụng,TP HCM,Cửa hàng,6,6,5446700.0,3993821.0
2025-01-02,Gia dụng,TP HCM,Online,4,4,8541000.0,6287807.0
2025-01-02,Gia dụng,Đà Nẵng,Cửa hàng,2,2,4083050.0,3132602.0
2025-01-02,Gia dụng,Đà Nẵng,Online,1,1,869000.0,626711.0
2025-01-02,Mỹ phẩm,Cần Thơ,Cửa hàng,1,1,515000.0,353342.0
2025-01-02,Mỹ phẩm,Cần Thơ,Online,2,2,987300.0,810691.0
2025-01-02,Mỹ phẩm,Hà Nội,Cửa hàng,3,3,5931100.0,4402932.0
2025-01-02,Mỹ phẩm,Hà Nội,Online,2,2,3130000.0,2318587.0
2025-01-02,Mỹ phẩm,Hải Phòng,Online,3,3,2951150.0,2282949.0
2025-01-02,Mỹ phẩm,TP HCM,Cửa hàng,1,1,882000.0,567918.0
2025-01-02,Mỹ phẩm,TP HCM,Online,4,4,2627300.0,1977002.0
2025-01-02,Mỹ phẩm,Đà Nẵng,Cửa hàng,2,2,947900.0,654211.0
2025-01-02,Mỹ phẩm,Đà Nẵng,Online,4,4,10638313.0,7378361.0
2025-01-02,Sách,Cần Thơ,Cửa hàng,1,1,428400.0,274365.0
2025-01-02,Sách,Hà Nội,Cửa hàng,3,3,753500.0,509804.0
2025-01-02,Sách,Hà Nội,Online,2,2,425600.0,297200.0
2025-01-02,Sách,Hải Phòng,Cửa hàng,1,1,153000.0,92347.0
2025-01-02,Sách,TP HCM,Cửa hàng,3,3,1062000.0,808015.0
2025-01-02,Sách,TP HCM,Online,6,6,2313194.0,1620836.0
2025-01-02,Sách,Đà Nẵng,Cửa hàng,2,2,540000.0,407236.0
2025-01-02,Thời trang,Cần Thơ,Cửa hàng,1,1,2091000.0,1671400.0
2025-01-02,Thời trang,Hà Nội,Cửa hàng,4,4,3418050.0,2617446.0
2025-01-02,Thời trang,Hà Nội,Online,1,1,1288800.0,1005414.0
2025-01-02,Thời trang,Hải Phòng,Cửa hàng,3,3,1889900.0,1237597.0
2025-01-02,Thời trang,TP HCM,Cửa hàng,5,5,7380900.0,5699060.0
2025-01-02,Thời trang,TP HCM,Online,4,4,9298750.0,6684747.0
2025-01-02,Thời trang,Đà Nẵng,Cửa hàng,2,2,2186800.0,1522088.0
2025-01-02,Thời trang,Đà Nẵng,Online,3,3,2690200.0,2083457.0
2025-01-02,Thực phẩm,Cần Thơ,Cửa hàng,7,7,2512100.0,1802984.0
2025-01-02,Thực phẩm,Cần Thơ,Online,5,5,1686000.0,1239280.0
2025-01-02,Thực phẩm,Hà Nội,Cửa hàng,7,7,2360500.0,1643206.0
2025-01-02,Thực phẩm,Hà Nội,Online,8,8,3552350.0,2505092.0
2025-01-02,Thực phẩm,Hải Phòng,Cửa hàng,6,6,1648550.0,1204036.0
2025-01-02,Thực phẩm,Hải Phòng,Online,1,1,162450.0,121911.0
2025-01-02,Thực phẩm,TP HCM,Cửa hàng,11,11,4886886.0,3512191.0
2025-01-02,Thực phẩm,TP HCM,Online,7,7,2033500.0,1528341.0
2025-01-02,Thực phẩm,Đà Nẵng,Cửa hàng,3,3,1251300.0,874666.0
2025-01-02,Thực phẩm,Đà Nẵng,Online,6,6,1708300.0,1184830.0
2025-01-02,Điện tử,Cần Thơ,Cửa hàng,3,3,7135200.0,4576766.0
2025-01-02,Điện tử,Cần Thơ,Online,2,2,2195000.0,1655317.0
2025-01-02,Điện tử,Hà Nội,Cửa hàng,4,4,7555000.0,5838952.0
2025-01-02,Điện tử,Hà Nội,Online,2,2,3313050.0,2675425.0
2025-01-02,Điện tử,Hải Phòng,Cửa hàng,2,2,4302000.0,3256344.0
2025-01-02,Điện tử,Hải Phòng,Online,2,2,4030400.0,2836714.0
2025-01-02,Điện tử,TP HCM,Cửa hàng,8,8,37956057.0,26708627.0
2025-01-02,Điện tử,TP HCM,Online,3,3,3115100.0,2254468.0
