customer_id,age,gender,city,tenure_months,support_tickets,churn,recency,frequency,monetary,phan_khuc,xac_suat_churn
C00001,47,Nữ,Hà Nội,15,1,0,1.0,643.0,628184874.6500636,Khách VIP,0.0
C00002,32,Nam,Đà Nẵng,20,2,0,1.0,439.0,422404011.0,Khách VIP,0.0
C00003,38,Nam,Cần Thơ,54,1,0,1.0,344.0,370743062.7638229,Khách VIP,0.0
C00004,60,Nam,TP HCM,37,2,0,1.0,306.0,321978608.44229007,Khách VIP,0.0
C00005,23,Nữ,TP HCM,39,0,0,3.0,265.0,276176920.0,Khách VIP,0.0
C00006,37,Nữ,Cần Thơ,43,1,0,1.0,224.0,245159494.8790549,Khách VIP,0.0
C00007,62,Nữ,Cần Thơ,10,1,0,1.0,207.0,185650850.0,Khách VIP,0.0
C00008,43,Nam,Hải Phòng,4,2,0,3.0,217.0,227769427.0,Khách VIP,0.0
C00009,18,Nữ,Hải Phòng,4,1,0,5.0,166.0,162832721.0,Khách VIP,0.0
C00010,49,Nữ,Hà Nội,33,1,0,1.0,155.0,184417833.0,Khách VIP,0.0
C00011,67,Nam,Hải Phòng,4,1,0,1.0,139.0,151886004.0,Khách VIP,0.0
C00012,70,Nữ,Hải Phòng,40,2,0,6.0,152.0,157841124.52086565,Khách VIP,0.0
C00013,46,Nam,Hải Phòng,21,1,0,2.0,127.0,144081299.0,Khách VIP,0.0
C00014,18,Nam,TP HCM,27,0,0,1.0,124.0,104887153.0,Khách VIP,0.0
C00015,43,Nữ,Hà Nội,59,1,0,1.0,135.0,127490283.0,Khách VIP,0.0
C00016,54,Nam,Đà Nẵng,44,0,0,5.0,131.0,138841550.0,Khách VIP,0.0
C00017,29,Nữ,Hải Phòng,52,1,0,1.0,138.0,123435431.0,Khách VIP,0.0
C00018,37,Nữ,Đà Nẵng,21,1,0,1.0,114.0,112088600.0,Khách VIP,0.0
C00019,33,Nữ,Đà Nẵng,18,1,0,3.0,107.0,116357699.0,Khách VIP,0.0
C00020,18,Nam,TP HCM,5,2,0,1.0,113.0,101251400.0,Khách VIP,0.0
C00021,69,Nam,TP HCM,51,1,0,12.0,91.0,78624850.0,Khách VIP,0.0
C00022,63,Nam,Hải Phòng,16,2,0,8.0,106.0,115658350.0,Khách VIP,0.0
C00023,29,Nam,Đà Nẵng,26,0,0,2.0,102.0,103919324.0,Khách VIP,0.0
C00024,35,Nữ,Đà Nẵng,21,4,0,4.0,96.0,86460300.0,Khách VIP,0.0
C00025,49,Nam,TP HCM,38,1,0,1.0,81.0,113445489.0,Khách VIP,0.0
C00026,43,Nam,Hà Nội,26,2,0,3.0,97.0,88899650.0,Khách VIP,0.0
C00027,29,Nam,TP HCM,58,3,0,3.0,92.0,86989947.0,Khách VIP,0.0
C00028,57,Nam,Hà Nội,7,1,0,10.0,81.0,80035016.0,Khách VIP,0.0
C00029,54,Nữ,TP HCM,21,1,0,2.0,86.0,87911836.0,Khách VIP,0.0
C00030,21,Nữ,TP HCM,25,0,0,16.0,88.0,98983550.0,Khách VIP,0.0
C00031,64,Nữ,Cần Thơ,37,1,0,4.0,70.0,74684765.0,Khách VIP,0.0
C00032,28,Nữ,Hà Nội,54,0,0,2.0,78.0,88197584.0,Khách VIP,0.0
C00033,28,Nữ,Hà Nội,59,0,0,9.0,87.0,95788550.0,Khách VIP,0.0
C00034,36,Nữ,Hà Nội,50,1,0,1.0,82.0,88228074.0,Khách VIP,0.0
C00035,18,Nữ,TP HCM,56,0,0,5.0,78.0,92157600.0,Khách VIP,0.0
C00036,56,Nữ,TP HCM,54,1,0,3.0,80.0,74765840.0,Khách VIP,0.0
C00037,35,Nam,TP HCM,3,0,0,3.0,83.0,78178950.0,Khách VIP,0.0
C00038,61,Nữ,Hải Phòng,41,1,0,5.0,70.0,74276801.88243699,Khách VIP,0.0
C00039,56,Nam,Đà Nẵng,41,3,0,3.0,69.0,80574275.0,Khách VIP,0.0
C00040,21,Nữ,Hà Nội,6,3,0,4.0,74.0,66873555.0,Khách VIP,0.0
C00041,61,Nữ,Hải Phòng,22,1,0,1.0,80.0,88934627.0,Khách VIP,0.0
C00042,24,Nữ,TP HCM,11,1,0,7.0,71.0,63097081.0,Khách VIP,0.0
C00043,53,Nam,Đà Nẵng,55,4,0,1.0,78.0,85527444.0,Khách VIP,0.0
C00044,28,Nữ,Cần Thơ,53,0,0,3.0,59.0,71289775.0,Khách VIP,0.0
C00045,37,Nam,TP HCM,43,3,0,3.0,82.0,75896250.0,Khách VIP,0.0
C00046,18,Nữ,TP HCM,4,1,0,2.0,66.0,60632950.0,Khách VIP,0.0
C00047,26,Nữ,Hà Nội,32,4,0,9.0,62.0,50179400.0,Khách VIP,0.0
C00048,51,Nữ,Hải Phòng,50,1,0,7.0,69.0,69481750.0,Khách VIP,0.0
C00049,18,Nữ,Cần Thơ,46,0,0,10.0,73.0,77750010.0,Khách VIP,0.0
C00050,34,Nữ,TP HCM,53,2,0,5.0,59.0,56337346.0,Khách VIP,0.0
C00051,50,Nữ,Hà Nội,23,2,0,12.0,62.0,69605314.0,Khách VIP,0.0
C00052,26,Nữ,Hà Nội,48,3,0,1.0,63.0,68041531.0,Khách VIP,0.0
C00053,31,Nam,TP HCM,60,1,0,2.0,60.0,67685750.0,Khách VIP,0.0
C00054,67,Nam,TP HCM,54,1,0,6.0,81.0,86490650.0,Khách VIP,0.0
C00055,59,Nam,Hà Nội,53,1,0,13.0,55.0,68004156.62788762,Khách VIP,0.0
C00056,47,Nam,Hà Nội,58,1,0,12.0,59.0,66301381.0,Khách VIP,0.0
C00057,42,Nữ,Đà Nẵng,21,0,0,2.0,66.0,51335050.0,Khách VIP,0.0
C00058,60,Nam,TP HCM,36,1,0,12.0,77.0,86672200.0,Khách VIP,0.0
C00059,25,Nam,TP HCM,14,2,0,15.0,52.0,35966250.0,Khách VIP,0.0
C00060,45,Nữ,Hà Nội,26,4,0,1.0,50.0,48117600.0,Khách VIP,0.0
C00061,31,Nữ,TP HCM,39,0,0,2.0,55.0,60068000.0,Khách VIP,0.0
C00062,40,Nữ,TP HCM,38,2,0,3.0,60.0,58823450.0,Khách VIP,0.0
C00063,40,Nam,TP HCM,55,3,0,13.0,52.0,53211350.0,Khách VIP,0.0
C00064,45,Nữ,Hà Nội,38,2,0,11.0,47.0,38499150.0,Khách VIP,0.0
C00065,66,Nam,Hà Nội,7,2,0,1.0,53.0,69697650.27299803,Khách VIP,0.0
C00066,61,Nữ,Đà Nẵng,9,1,0,8.0,51.0,58388555.0,Khách VIP,0.0
C00067,31,Nữ,Đà Nẵng,22,2,0,5.0,60.0,65183650.0,Khách VIP,0.0
C00068,20,Nam,TP HCM,56,1,0,1.0,55.0,53856752.0,Khách VIP,0.0
C00069,70,Nam,Hải Phòng,56,0,0,7.0,55.0,55398250.0,Khách VIP,0.0
C00070,43,Nam,Đà Nẵng,45,0,0,4.0,48.0,55012400.0,Khách VIP,0.0
C00071,44,Nam,TP HCM,43,3,0,2.0,53.0,45197200.0,Khách VIP,0.0
C00072,18,Nữ,Hải Phòng,14,1,0,11.0,50.0,47094200.0,Khách VIP,0.0
C00073,45,Nam,TP HCM,32,0,0,16.0,46.0,40016319.0,Khách VIP,0.0
C00074,65,Nữ,Hà Nội,37,2,0,22.0,52.0,51210325.0,Khách VIP,0.0
C00075,63,Nam,Đà Nẵng,36,2,0,6.0,46.0,51571573.0,Khách VIP,0.0
C00076,51,Nam,Hải Phòng,34,1,0,14.0,40.0,39943800.0,Khách VIP,0.0
C00077,37,Nam,TP HCM,18,2,0,15.0,51.0,41831550.0,Khách VIP,0.0
C00078,26,Nam,Đà Nẵng,40,3,0,14.0,51.0,40036376.0,Khách VIP,0.0
C00079,65,Nữ,Hà Nội,45,4,0,5.0,45.0,55744899.0,Khách VIP,0.0
C00080,46,Nữ,Hà Nội,52,2,0,6.0,46.0,55695400.0,Khách VIP,0.0
C00081,58,Nam,Hà Nội,2,1,0,30.0,40.0,40118952.0,Khách VIP,0.0
C00082,33,Nữ,Cần Thơ,14,0,0,4.0,43.0,44365300.0,Khách VIP,0.0
C00083,24,Nữ,Hải Phòng,14,3,0,6.0,55.0,52610928.0,Khách VIP,0.0
C00084,30,Nam,TP HCM,41,0,0,1.0,39.0,31341650.0,Khách VIP,0.0
C00085,66,Nữ,Đà Nẵng,23,1,0,6.0,52.0,46209800.0,Khách VIP,0.0
C00086,68,Nữ,TP HCM,46,3,0,7.0,49.0,48171000.0,Khách VIP,0.0
C00087,66,Nữ,Cần Thơ,25,0,0,4.0,42.0,55233449.0,Khách VIP,0.0
C00088,19,Nam,Cần Thơ,6,0,0,10.0,42.0,55125041.0,Khách VIP,0.0
C00089,46,Nam,TP HCM,40,1,0,2.0,49.0,41540900.0,Khách VIP,0.0
C00090,26,Nam,Hà Nội,37,0,0,4.0,43.0,49091936.10108663,Khách VIP,0.0
C00091,26,Nam,TP HCM,35,2,0,1.0,41.0,46001672.0,Khách VIP,0.0
C00092,65,Nam,Cần Thơ,36,0,0,6.0,37.0,46384650.0,Khách VIP,0.0
C00093,49,Nữ,TP HCM,14,0,0,2.0,46.0,38135800.0,Khách VIP,0.0
C00094,70,Nam,Hà Nội,49,1,0,4.0,52.0,56627855.0,Khách VIP,0.0
C00095,47,Nam,Cần Thơ,44,4,0,8.0,35.0,26826650.0,Khách VIP,0.001
C00096,24,Nam,TP HCM,22,1,0,1.0,42.0,34947750.0,Khách VIP,0.0
C00097,45,Nam,Đà Nẵng,31,0,0,7.0,39.0,48456382.0,Khách VIP,0.0
C00098,45,Nữ,Hà Nội,32,2,0,2.0,43.0,33167500.0,Khách VIP,0.0
C00099,51,Nữ,Hà Nội,42,3,0,2.0,48.0,39891850.0,Khách VIP,0.0
C00100,49,Nữ,Đà Nẵng,24,4,0,20.0,44.0,40033550.0,Khách VIP,0.0
C00101,68,Nữ,Đà Nẵng,5,0,0,6.0,36.0,35171950.0,Khách VIP,0.001
C00102,19,Nam,TP HCM,5,1,0,24.0,27.0,31155250.0,Khách VIP,0.008
C00103,67,Nữ,TP HCM,16,1,0,7.0,41.0,69600814.0,Khách VIP,0.0
C00104,24,Nam,TP HCM,45,2,0,26.0,32.0,32188550.0,Khách VIP,0.001
C00105,38,Nữ,Hà Nội,23,2,0,13.0,31.0,26993500.0,Khách VIP,0.002
C00106,29,Nam,Hà Nội,20,0,0,14.0,43.0,45551500.0,Khách VIP,0.0
C00107,67,Nữ,Hà Nội,40,4,0,1.0,41.0,33943250.0,Khách VIP,0.0
C00108,65,Nam,Đà Nẵng,44,1,0,3.0,36.0,26516400.0,Khách VIP,0.0
C00109,19,Nữ,Hải Phòng,57,1,0,2.0,42.0,39499500.0,Khách VIP,0.0
