date,du_bao_trieu,can_duoi_95,can_tren_95
2026-01-01,688.2,645.1,731.2
2026-01-02,715.6,671.8,759.5
2026-01-03,750.8,706.6,795.0
2026-01-04,739.6,695.0,784.1
2026-01-05,656.4,611.5,701.3
2026-01-06,662.6,617.3,707.8
2026-01-07,683.3,637.7,728.9
2026-01-08,689.7,643.5,735.8
2026-01-09,718.4,671.9,764.9
2026-01-10,753.4,706.6,800.3
2026-01-11,742.0,694.8,789.2
2026-01-12,658.9,611.4,706.5
2026-01-13,665.4,617.5,713.3
2026-01-14,685.6,637.3,733.8
2026-01-15,692.3,643.6,740.9
2026-01-16,721.1,672.1,770.0
2026-01-17,756.1,706.7,805.4
2026-01-18,744.6,694.9,794.3
2026-01-19,661.6,611.6,711.6
2026-01-20,668.0,617.7,718.4
2026-01-21,688.2,637.5,738.9
2026-01-22,694.9,643.9,746.0
2026-01-23,723.7,672.3,775.1
2026-01-24,758.7,707.0,810.5
2026-01-25,747.2,695.2,799.3
2026-01-26,664.2,611.8,716.6
2026-01-27,670.7,617.9,723.4
2026-01-28,690.9,637.8,743.9
2026-01-29,697.6,644.2,751.0
2026-01-30,726.4,672.6,780.1
