transaction_id,ts,customer_id,branch,channel,category,quantity,unit_price,amount,payment_method,gio,score
T0038646,2025-07-20 23:42:43,C02584,TP HCM,Online,Điện tử,5.0,1251000.0,6255000.0,VI_DIEN_TU,23,-0.6852875720829985
T0042611,2025-08-10 23:04:21,C00354,Hà Nội,Online,Điện tử,5.0,1164000.0,5820000.0,VI_DIEN_TU,23,-0.6822804241084545
T0042800,2025-08-11 23:39:29,C03027,Hà Nội,Cửa hàng,Điện tử,5.0,1256000.0,6280000.0,VI_DIEN_TU,23,-0.680509563823983
T0035970,2025-07-07 01:27:08,C02888,Đà Nẵng,Cửa hàng,Điện tử,1.0,20861757.18620853,20861757.0,VI_DIEN_TU,1,-0.6803203645505733
T0037396,2025-07-14 01:01:31,C02026,Hà Nội,Online,Gia dụng,1.0,15784684.53858928,15784685.0,VI_DIEN_TU,1,-0.6788793755445343
T0057248,2025-10-26 00:31:28,C00059,Hà Nội,Online,Sách,5.0,142000.0,674500.0,VI_DIEN_TU,0,-0.6766358475558502
T0013192,2025-03-10 01:17:15,C07506,Đà Nẵng,Online,Gia dụng,1.0,10936214.72555097,10936215.0,VI_DIEN_TU,1,-0.6761290388715866
T0010460,2025-02-24 01:27:57,C01545,TP HCM,Online,Thời trang,1.0,11001346.334111117,11001346.0,VI_DIEN_TU,1,-0.6761290388715866
T0021339,2025-04-21 02:16:11,C00315,TP HCM,Online,Điện tử,1.0,22471640.373780403,22471640.0,VI_DIEN_TU,2,-0.6743441892031213
T0046653,2025-08-31 22:22:48,C07053,TP HCM,Online,Sách,5.0,128000.0,640000.0,VI_DIEN_TU,22,-0.6740489052084053
T0022532,2025-04-27 22:42:17,C05130,Đà Nẵng,Online,Điện tử,5.0,1145000.0,4866250.0,VI_DIEN_TU,22,-0.673337923803113
T0017293,2025-03-31 02:57:30,C01075,TP HCM,Cửa hàng,Điện tử,1.0,19632075.428808708,19632075.428808708,VI_DIEN_TU,2,-0.6731503565103456
T0000995,2025-01-06 02:33:45,C05882,Hà Nội,Cửa hàng,Điện tử,1.0,19530611.534453068,19530612.0,VI_DIEN_TU,2,-0.6731503565103456
T0030572,2025-06-09 02:25:44,C02912,Cần Thơ,Online,Thời trang,1.0,14297100.492915636,14297100.0,VI_DIEN_TU,2,-0.6729768212360674
T0043948,2025-08-17 23:42:39,C02487,Cần Thơ,Cửa hàng,Điện tử,5.0,1100000.0,5500000.0,VI_DIEN_TU,23,-0.6725399079296678
T0031838,2025-06-15 01:55:20,C00378,Hà Nội,Online,Điện tử,1.0,19670623.38549918,19670623.0,VI_DIEN_TU,1,-0.6725035981534843
T0009287,2025-02-18 01:36:49,C00249,Hà Nội,Cửa hàng,Điện tử,1.0,20208595.07172396,20208595.0,VI_DIEN_TU,1,-0.6721771562269733
T0037500,2025-07-15 01:56:27,C00025,TP HCM,Cửa hàng,Điện tử,1.0,21660488.67001139,21660489.0,VI_DIEN_TU,1,-0.6721771562269733
T0025334,2025-05-12 03:57:32,C01326,Hải Phòng,Cửa hàng,Điện tử,1.0,20566253.236962344,20566253.0,VI_DIEN_TU,3,-0.6720731763572093
T0007757,2025-02-10 03:17:17,C03741,Cần Thơ,Cửa hàng,Điện tử,1.0,19654582.64686004,19654583.0,VI_DIEN_TU,3,-0.6720731763572093
T0045448,2025-08-25 03:25:39,C04070,Hà Nội,Cửa hàng,Điện tử,1.0,20538234.72899457,20538235.0,VI_DIEN_TU,3,-0.6720731763572093
T0014437,2025-03-16 01:10:24,C00553,TP HCM,Online,Điện tử,1.0,14929608.534763562,14929608.534763562,VI_DIEN_TU,1,-0.6715942001158217
T0019977,2025-04-14 01:56:00,C05649,TP HCM,Online,Điện tử,1.0,9460523.881998492,9460524.0,VI_DIEN_TU,1,-0.6715698830266095
T0016985,2025-03-30 01:11:59,C05151,Hà Nội,Online,Gia dụng,1.0,16135325.891624529,16135325.891624529,VI_DIEN_TU,1,-0.6713670428183278
T0002296,2025-01-13 02:16:27,C04102,Hà Nội,Cửa hàng,Điện tử,1.0,16471462.198805574,16471462.198805574,VI_DIEN_TU,2,-0.671256777854074
T0016995,2025-03-30 01:29:35,C05250,Cần Thơ,Cửa hàng,Điện tử,1.0,21998705.386012238,21998705.386012238,VI_DIEN_TU,1,-0.6712554023957897
T0010396,2025-02-24 04:43:54,C06683,Hà Nội,Cửa hàng,Điện tử,1.0,20783077.073269628,20783077.0,VI_DIEN_TU,4,-0.670937348450412
T0029400,2025-06-02 02:58:07,C04608,Hà Nội,Online,Gia dụng,1.0,10414734.4407976,10414734.0,VI_DIEN_TU,2,-0.6709309661766755
T0007497,2025-02-09 01:24:24,C00214,Hà Nội,Online,Gia dụng,1.0,12495229.747587502,12495230.0,VI_DIEN_TU,1,-0.6709129586956405
T0031724,2025-06-15 00:50:34,C04859,Hải Phòng,Online,Điện tử,5.0,961000.0,4805000.0,VI_DIEN_TU,0,-0.6707575127273455
T0009282,2025-02-18 01:13:57,C01119,Cần Thơ,Cửa hàng,Thời trang,1.0,14339143.65590803,14339144.0,VI_DIEN_TU,1,-0.6707399751935977
T0052439,2025-09-30 01:13:31,C02825,Đà Nẵng,Cửa hàng,Thời trang,1.0,13457241.67352008,13457242.0,VI_DIEN_TU,1,-0.6707399751935977
T0057632,2025-10-27 03:36:48,C00884,TP HCM,Cửa hàng,Gia dụng,1.0,13485874.735728895,13485874.735728895,VI_DIEN_TU,3,-0.6706362176430472
T0002286,2025-01-13 03:50:51,C07474,Cần Thơ,Cửa hàng,Điện tử,1.0,14706673.755963376,14706674.0,VI_DIEN_TU,3,-0.6706362176430472
