,phong_ban,tin_nhan_duoc,tin_gui_di,betweenness,closeness,pagerank,hang_theo_tin,hang_pagerank
E002,Ban Giám đốc,1918,369,0.245,1.0,0.1155,1,1
E001,Ban Giám đốc,818,391,0.2793,1.0,0.04514,2,2
E035,Marketing,678,214,0.0412,0.88,0.04217,4,3
E019,Kỹ thuật,681,286,0.0435,0.91,0.04059,3,4
E051,Tài chính,650,161,0.0425,0.88,0.03939,5,5
E003,Kinh doanh,649,222,0.0465,0.91,0.03765,6,6
E067,Nhân sự,619,150,0.0453,0.88,0.03702,7,7
E031,Kỹ thuật,139,519,0.0001,0.559,0.01094,17,8
E073,Nhân sự,132,112,0.0001,0.559,0.01072,23,9
E046,Marketing,136,169,0.0001,0.559,0.01023,19,10
E021,Kỹ thuật,150,148,0.0,0.559,0.01022,8,11
E057,Tài chính,113,138,0.0,0.559,0.01022,53,11
E030,Kỹ thuật,144,180,0.0001,0.559,0.01001,12,13
E022,Kỹ thuật,145,105,0.0,0.559,0.00994,11,14
E032,Kỹ thuật,146,142,0.0,0.559,0.00961,10,15
E028,Kỹ thuật,141,202,0.0001,0.559,0.00961,15,15
E044,Marketing,135,183,0.0,0.559,0.00956,20,17
E038,Marketing,140,126,0.0,0.559,0.00956,16,17
E077,Nhân sự,119,149,0.0002,0.559,0.00949,45,19
E045,Marketing,134,156,0.0001,0.559,0.00941,21,20
E047,Marketing,124,243,0.0001,0.559,0.00935,36,21
E068,Nhân sự,122,139,0.0001,0.559,0.00934,38,22
E023,Kỹ thuật,131,283,0.0001,0.559,0.00926,26,23
E078,Nhân sự,125,160,0.0002,0.559,0.00926,34,23
E042,Marketing,120,198,0.0001,0.559,0.00915,43,25
E061,Tài chính,133,73,0.0001,0.559,0.00912,22,26
E010,Kinh doanh,121,113,0.0001,0.559,0.00906,40,27
E081,Nhân sự,111,219,0.0002,0.559,0.00906,58,27
E043,Marketing,144,137,0.0001,0.559,0.00905,12,30
E037,Marketing,148,146,0.0001,0.559,0.00905,9,30
E034,Kỹ thuật,139,119,0.0,0.559,0.00905,17,30
E027,Kỹ thuật,117,217,0.0001,0.559,0.00892,48,32
E009,Kinh doanh,130,152,0.0001,0.555,0.00885,29,33
E071,Nhân sự,122,95,0.0001,0.559,0.00884,38,34
E050,Marketing,142,177,0.0001,0.559,0.00879,14,35
E020,Kỹ thuật,129,174,0.0001,0.559,0.00874,30,36
E058,Tài chính,117,341,0.0001,0.559,0.00873,48,37
E072,Nhân sự,104,93,0.0001,0.559,0.00869,70,38
E065,Tài chính,103,228,0.0001,0.559,0.00868,71,39
E026,Kỹ thuật,125,153,0.0001,0.559,0.00862,34,40
E048,Marketing,132,180,0.0,0.559,0.00861,23,41
E024,Kỹ thuật,111,148,0.0001,0.559,0.00858,58,42
E056,Tài chính,127,120,0.0001,0.559,0.00857,31,43
E033,Kỹ thuật,126,142,0.0,0.559,0.00856,32,44
E013,Kinh doanh,111,161,0.0001,0.559,0.00849,58,45
E064,Tài chính,108,215,0.0001,0.559,0.00845,67,46
E029,Kỹ thuật,131,192,0.0001,0.559,0.00842,26,47
E080,Nhân sự,102,134,0.0001,0.559,0.00832,73,48
E082,Nhân sự,110,126,0.0001,0.555,0.00831,62,49
E008,Kinh doanh,103,134,0.0001,0.559,0.00829,71,50
E066,Tài chính,126,231,0.0001,0.559,0.00823,32,51
E062,Tài chính,131,138,0.0001,0.559,0.00822,26,52
E015,Kinh doanh,112,191,0.0001,0.559,0.00822,55,52
E007,Kinh doanh,115,182,0.0001,0.559,0.0082,51,54
E059,Tài chính,124,117,0.0001,0.559,0.00816,36,55
E070,Nhân sự,120,144,0.0001,0.555,0.00815,43,56
E011,Kinh doanh,110,247,0.0001,0.559,0.00813,62,57
E025,Kỹ thuật,131,115,0.0001,0.559,0.0081,26,58
E014,Kinh doanh,121,280,0.0001,0.559,0.00807,40,59
E060,Tài chính,99,264,0.0001,0.559,0.00805,79,60
E017,Kinh doanh,120,196,0.0001,0.559,0.00805,43,60
E052,Tài chính,118,210,0.0001,0.559,0.00802,46,62
E016,Kinh doanh,110,90,0.0001,0.559,0.00797,62,63
E076,Nhân sự,98,253,0.0002,0.559,0.00786,80,64
E005,Kinh doanh,109,60,0.0001,0.555,0.00784,65,65
E055,Tài chính,110,127,0.0001,0.559,0.00783,62,66
E054,Tài chính,115,133,0.0001,0.559,0.00782,51,67
E040,Marketing,117,211,0.0001,0.559,0.00781,48,68
E074,Nhân sự,93,198,0.0001,0.559,0.00778,81,69
E079,Nhân sự,105,229,0.0002,0.559,0.00777,69,70
E041,Marketing,101,236,0.0001,0.559,0.00769,76,71
E039,Marketing,112,111,0.0,0.559,0.00769,55,71
E053,Tài chính,113,91,0.0,0.559,0.00768,53,73
E049,Marketing,115,242,0.0001,0.559,0.00767,51,74
E036,Marketing,102,264,0.0001,0.555,0.00752,73,75
E018,Kinh doanh,107,115,0.0001,0.559,0.00747,68,76
E012,Kinh doanh,110,236,0.0001,0.555,0.00734,62,77
E069,Nhân sự,90,245,0.0001,0.555,0.00726,82,78
E063,Tài chính,109,203,0.0001,0.555,0.00722,65,79
E075,Nhân sự,101,162,0.0001,0.559,0.0072,76,80
E004,Kinh doanh,101,272,0.0001,0.555,0.00698,76,81
E006,Kinh doanh,100,73,0.0,0.555,0.00686,78,82
