customer_id,age,gender,city,tenure_months,support_tickets,churn,recency,frequency,monetary,phan_khuc,trang_thai
C00001,47,Nữ,Hà Nội,15,1,0,1.0,643.0,628184874.6500636,Khách VIP,Đang hoạt động
C00002,32,Nam,Đà Nẵng,20,2,0,1.0,439.0,422404011.0,Khách VIP,Đang hoạt động
C00003,38,Nam,Cần Thơ,54,1,0,1.0,344.0,370743062.7638229,Khách VIP,Đang hoạt động
C00004,60,Nam,TP HCM,37,2,0,1.0,306.0,321978608.44229007,Khách VIP,Đang hoạt động
C00005,23,Nữ,TP HCM,39,0,0,3.0,265.0,276176920.0,Khách VIP,Đang hoạt động
C00006,37,Nữ,Cần Thơ,43,1,0,1.0,224.0,245159494.8790549,Khách VIP,Đang hoạt động
C00007,62,Nữ,Cần Thơ,10,1,0,1.0,207.0,185650850.0,Khách VIP,Đang hoạt động
C00008,43,Nam,Hải Phòng,4,2,0,3.0,217.0,227769427.0,Khách VIP,Đang hoạt động
C00009,18,Nữ,Hải Phòng,4,1,0,5.0,166.0,162832721.0,Khách VIP,Đang hoạt động
C00010,49,Nữ,Hà Nội,33,1,0,1.0,155.0,184417833.0,Khách VIP,Đang hoạt động
C00011,67,Nam,Hải Phòng,4,1,0,1.0,139.0,151886004.0,Khách VIP,Đang hoạt động
C00012,70,Nữ,Hải Phòng,40,2,0,6.0,152.0,157841124.52086565,Khách VIP,Đang hoạt động
C00013,46,Nam,Hải Phòng,21,1,0,2.0,127.0,144081299.0,Khách VIP,Đang hoạt động
C00014,18,Nam,TP HCM,27,0,0,1.0,124.0,104887153.0,Khách VIP,Đang hoạt động
C00015,43,Nữ,Hà Nội,59,1,0,1.0,135.0,127490283.0,Khách VIP,Đang hoạt động
C00016,54,Nam,Đà Nẵng,44,0,0,5.0,131.0,138841550.0,Khách VIP,Đang hoạt động
C00017,29,Nữ,Hải Phòng,52,1,0,1.0,138.0,123435431.0,Khách VIP,Đang hoạt động
C00018,37,Nữ,Đà Nẵng,21,1,0,1.0,114.0,112088600.0,Khách VIP,Đang hoạt động
C00019,33,Nữ,Đà Nẵng,18,1,0,3.0,107.0,116357699.0,Khách VIP,Đang hoạt động
C00020,18,Nam,TP HCM,5,2,0,1.0,113.0,101251400.0,Khách VIP,Đang hoạt động
C00021,69,Nam,TP HCM,51,1,0,12.0,91.0,78624850.0,Khách VIP,Đang hoạt động
C00022,63,Nam,Hải Phòng,16,2,0,8.0,106.0,115658350.0,Khách VIP,Đang hoạt động
C00023,29,Nam,Đà Nẵng,26,0,0,2.0,102.0,103919324.0,Khách VIP,Đang hoạt động
C00024,35,Nữ,Đà Nẵng,21,4,0,4.0,96.0,86460300.0,Khách VIP,Đang hoạt động
C00025,49,Nam,TP HCM,38,1,0,1.0,81.0,113445489.0,Khách VIP,Đang hoạt động
C00026,43,Nam,Hà Nội,26,2,0,3.0,97.0,88899650.0,Khách VIP,Đang hoạt động
C00027,29,Nam,TP HCM,58,3,0,3.0,92.0,86989947.0,Khách VIP,Đang hoạt động
C00028,57,Nam,Hà Nội,7,1,0,10.0,81.0,80035016.0,Khách VIP,Đang hoạt động
C00029,54,Nữ,TP HCM,21,1,0,2.0,86.0,87911836.0,Khách VIP,Đang hoạt động
C00030,21,Nữ,TP HCM,25,0,0,16.0,88.0,98983550.0,Khách VIP,Đang hoạt động
C00031,64,Nữ,Cần Thơ,37,1,0,4.0,70.0,74684765.0,Khách VIP,Đang hoạt động
C00032,28,Nữ,Hà Nội,54,0,0,2.0,78.0,88197584.0,Khách VIP,Đang hoạt động
