transaction_id,date,customer_id,category,branch,channel,payment_method,status,quantity,amount,cost,gio
T0000008,2025-01-01,C05726,Thời trang,Hải Phòng,Online,VI_DIEN_TU,HOAN_TAT,1,11563303,8094312,3
T0000001,2025-01-01,C05154,Thực phẩm,TP HCM,Online,THE,HOAN_TAT,3,549000,457913,7
T0000002,2025-01-01,C04651,Thực phẩm,Đà Nẵng,Cửa hàng,THE,HOAN_TAT,2,316000,196961,7
T0000003,2025-01-01,C02675,Mỹ phẩm,Cần Thơ,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,515000,361471,7
T0000004,2025-01-01,C02456,Điện tử,TP HCM,Online,THE,HOAN_TAT,2,1752700,1268568,7
T0000005,2025-01-01,C03581,Điện tử,TP HCM,Online,THE,HOAN_TAT,2,2376900,1720352,7
T0000006,2025-01-01,C01863,Thực phẩm,Hà Nội,Online,VI_DIEN_TU,HOAN_TAT,1,146300,110199,7
T0000007,2025-01-01,C00702,Điện tử,Hà Nội,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,952850,780835,7
T0000009,2025-01-01,C06909,Thực phẩm,Cần Thơ,Online,THE,HOAN_TAT,1,167200,129784,8
T0000010,2025-01-01,C05539,Sách,TP HCM,Cửa hàng,THE,HOAN_TAT,1,170000,131638,8
T0000011,2025-01-01,C01004,Thời trang,TP HCM,Cửa hàng,THE,HOAN_TAT,3,2112000,1583241,8
T0000012,2025-01-01,C04657,Thực phẩm,TP HCM,Cửa hàng,THE,HOAN_TAT,2,308000,222984,8
T0000013,2025-01-01,C00227,Sách,TP HCM,Cửa hàng,THE,HOAN_TAT,1,158000,108211,8
T0000014,2025-01-01,C03309,Điện tử,TP HCM,Online,CHUYEN_KHOAN,HOAN_TAT,1,1048800,824312,8
T0000015,2025-01-01,C00329,Thực phẩm,Hải Phòng,Cửa hàng,THE,HOAN_TAT,1,185000,124736,8
T0000016,2025-01-01,C07121,Thực phẩm,Hải Phòng,Online,VI_DIEN_TU,HOAN_TAT,1,182000,128712,9
T0000017,2025-01-01,C04441,Gia dụng,Hà Nội,Online,THE,HOAN_TAT,1,906000,620889,9
T0000018,2025-01-01,C00004,Điện tử,Hà Nội,Online,THE,HOAN_TAT,5,5455000,3948217,9
T0000019,2025-01-01,C00058,Thực phẩm,Hải Phòng,Online,THE,HOAN_TAT,1,156000,129533,9
T0000020,2025-01-01,C02549,Thực phẩm,Cần Thơ,Cửa hàng,CHUYEN_KHOAN,HOAN_TAT,2,280800,185575,9
T0000021,2025-01-01,C03686,Thời trang,Hà Nội,Cửa hàng,THE,HOAN_TAT,2,1159200,961793,9
T0000022,2025-01-01,C00269,Gia dụng,TP HCM,Online,TIEN_MAT,HOAN_TAT,1,919600,592801,9
T0000023,2025-01-01,C01999,Điện tử,Đà Nẵng,Online,TIEN_MAT,HOAN_TAT,1,1250000,904724,9
T0000024,2025-01-01,C00997,Mỹ phẩm,TP HCM,Cửa hàng,THE,HOAN_TAT,2,926000,699240,10
T0000025,2025-01-01,C04234,Điện tử,TP HCM,Cửa hàng,TIEN_MAT,HOAN_TAT,1,1098200,725887,10
T0000026,2025-01-01,C00097,Mỹ phẩm,Hải Phòng,Cửa hàng,TIEN_MAT,HOAN_TAT,2,747000,482078,10
T0000027,2025-01-01,C01630,Thời trang,Hà Nội,Online,TIEN_MAT,HOAN_TAT,2,1512400,1145007,10
T0000028,2025-01-01,C06506,Thực phẩm,Hà Nội,Online,TIEN_MAT,HOAN_TAT,1,150450,113100,10
T0000029,2025-01-01,C07159,Gia dụng,TP HCM,Cửa hàng,VI_DIEN_TU,HOAN_TAT,1,849000,712072,10
