customer_id,age,gender,city,tenure_months,support_tickets,churn
C00001,47,Nữ,Hà Nội,15,1,0
C00002,32,Nam,Đà Nẵng,20,2,0
C00003,38,Nam,Cần Thơ,54,1,0
C00004,60,Nam,TP HCM,37,2,0
C00005,23,Nữ,TP HCM,39,0,0
C00006,37,Nữ,Cần Thơ,43,1,0
C00007,62,Nữ,Cần Thơ,10,1,0
C00008,43,Nam,Hải Phòng,4,2,0
C00009,18,Nữ,Hải Phòng,4,1,0
C00010,49,Nữ,Hà Nội,33,1,0
C00011,67,Nam,Hải Phòng,4,1,0
C00012,70,Nữ,Hải Phòng,40,2,0
C00013,46,Nam,Hải Phòng,21,1,0
C00014,18,Nam,TP HCM,27,0,0
C00015,43,Nữ,Hà Nội,59,1,0
C00016,54,Nam,Đà Nẵng,44,0,0
C00017,29,Nữ,Hải Phòng,52,1,0
C00018,37,Nữ,Đà Nẵng,21,1,0
C00019,33,Nữ,Đà Nẵng,18,1,0
C00020,18,Nam,TP HCM,5,2,0
C00021,69,Nam,TP HCM,51,1,0
C00022,63,Nam,Hải Phòng,16,2,0
C00023,29,Nam,Đà Nẵng,26,0,0
C00024,35,Nữ,Đà Nẵng,21,4,0
C00025,49,Nam,TP HCM,38,1,0
C00026,43,Nam,Hà Nội,26,2,0
C00027,29,Nam,TP HCM,58,3,0
C00028,57,Nam,Hà Nội,7,1,0
C00029,54,Nữ,TP HCM,21,1,0
C00030,21,Nữ,TP HCM,25,0,0
C00031,64,Nữ,Cần Thơ,37,1,0
C00032,28,Nữ,Hà Nội,54,0,0
C00033,28,Nữ,Hà Nội,59,0,0
C00034,36,Nữ,Hà Nội,50,1,0
C00035,18,Nữ,TP HCM,56,0,0
C00036,56,Nữ,TP HCM,54,1,0
C00037,35,Nam,TP HCM,3,0,0
C00038,61,Nữ,Hải Phòng,41,1,0
C00039,56,Nam,Đà Nẵng,41,3,0
C00040,21,Nữ,Hà Nội,6,3,0
C00041,61,Nữ,Hải Phòng,22,1,0
C00042,24,Nữ,TP HCM,11,1,0
C00043,53,Nam,Đà Nẵng,55,4,0
C00044,28,Nữ,Cần Thơ,53,0,0
C00045,37,Nam,TP HCM,43,3,0
C00046,18,Nữ,TP HCM,4,1,0
C00047,26,Nữ,Hà Nội,32,4,0
C00048,51,Nữ,Hải Phòng,50,1,0
C00049,18,Nữ,Cần Thơ,46,0,0
C00050,34,Nữ,TP HCM,53,2,0
C00051,50,Nữ,Hà Nội,23,2,0
C00052,26,Nữ,Hà Nội,48,3,0
C00053,31,Nam,TP HCM,60,1,0
C00054,67,Nam,TP HCM,54,1,0
C00055,59,Nam,Hà Nội,53,1,0
C00056,47,Nam,Hà Nội,58,1,0
C00057,42,Nữ,Đà Nẵng,21,0,0
C00058,60,Nam,TP HCM,36,1,0
C00059,25,Nam,TP HCM,14,2,0
C00060,45,Nữ,Hà Nội,26,4,0
C00061,31,Nữ,TP HCM,39,0,0
C00062,40,Nữ,TP HCM,38,2,0
C00063,40,Nam,TP HCM,55,3,0
C00064,45,Nữ,Hà Nội,38,2,0
C00065,66,Nam,Hà Nội,7,2,0
C00066,61,Nữ,Đà Nẵng,9,1,0
C00067,31,Nữ,Đà Nẵng,22,2,0
C00068,20,Nam,TP HCM,56,1,0
C00069,70,Nam,Hải Phòng,56,0,0
C00070,43,Nam,Đà Nẵng,45,0,0
C00071,44,Nam,TP HCM,43,3,0
C00072,18,Nữ,Hải Phòng,14,1,0
C00073,45,Nam,TP HCM,32,0,0
C00074,65,Nữ,Hà Nội,37,2,0
C00075,63,Nam,Đà Nẵng,36,2,0
C00076,51,Nam,Hải Phòng,34,1,0
C00077,37,Nam,TP HCM,18,2,0
C00078,26,Nam,Đà Nẵng,40,3,0
C00079,65,Nữ,Hà Nội,45,4,0
C00080,46,Nữ,Hà Nội,52,2,0
C00081,58,Nam,Hà Nội,2,1,0
C00082,33,Nữ,Cần Thơ,14,0,0
C00083,24,Nữ,Hải Phòng,14,3,0
C00084,30,Nam,TP HCM,41,0,0
C00085,66,Nữ,Đà Nẵng,23,1,0
C00086,68,Nữ,TP HCM,46,3,0
C00087,66,Nữ,Cần Thơ,25,0,0
C00088,19,Nam,Cần Thơ,6,0,0
C00089,46,Nam,TP HCM,40,1,0
C00090,26,Nam,Hà Nội,37,0,0
C00091,26,Nam,TP HCM,35,2,0
C00092,65,Nam,Cần Thơ,36,0,0
C00093,49,Nữ,TP HCM,14,0,0
C00094,70,Nam,Hà Nội,49,1,0
C00095,47,Nam,Cần Thơ,44,4,0
C00096,24,Nam,TP HCM,22,1,0
C00097,45,Nam,Đà Nẵng,31,0,0
C00098,45,Nữ,Hà Nội,32,2,0
C00099,51,Nữ,Hà Nội,42,3,0
C00100,49,Nữ,Đà Nẵng,24,4,0
