transaction_id,ts,customer_id,branch,channel,category,quantity,unit_price,amount,cost,payment_method,status,is_fraud
T0009054,2025-02-17 02:08:12,C00947,Hà Nội,Online,Thời trang,3.0,647000.0,"1,941,000",1435615.5442606006,TIEN_MAT,HOAN_TAT,0
TDUP0038,2025-05-18 10:38:56,C00002,Cần Thơ,Online,Mỹ phẩm,1.0,411000.0,"411,000",291647.954051952,THE,HOAN_TRA,0
T0050630,2025-09-21 10:24:34,C06661,TP HCM,Online,Thực phẩm,5.0,164000.0,"820,000",551937.8704617473,THE,HOAN_TAT,0
T0019547,2025-04-12 10:45:16,C00492,Cần Thơ,Online,Điện tử,5.0,1258000.0,"6,290,000",5114514.322431802,CHUYEN_KHOAN,HOAN_TAT,0
T0039940,2025-07-27 17:45:37,C05825,Cần Thơ,Cửa hàng,Thực phẩm,2.0,163000.0,"326,000",234988.81666033898,TIEN_MAT,HOAN_TAT,0
T0017162,2025-03-31 06:25:33,C00367,TP HCM,Cửa hàng,Thực phẩm,3.0,175000.0,"446,250",339800.3103621686,TIEN_MAT,HOAN_TAT,0
T0026450,2025-05-18 08:01:37,C00004,Hải Phòng,Online,THỰC PHẨM,1.0,186000.0,"186,000",,TIEN_MAT,HOAN_TAT,0
T0023575,2025-05-03 09:26:29,C00879,TP HCM,Cửa hàng,Thời trang,2.0,802000.0,"1,363,400",942484.9976870893,VI_DIEN_TU,HOAN_TAT,0
T0023203,2025-05-01 11:49:19,C03160,Hà Nội,Cửa hàng,Gia dụng,1.0,770000.0,"770,000",612640.3695226739,TIEN_MAT,HOAN_TAT,0
T0057255,2025-10-26 01:18:52,C00015,TP HCM,Online,Điện tử,2.0,1153000.0,"2,306,000",,VI_DIEN_TU,HOAN_TAT,0
T0054776,2025-10-13 02:47:03,C01683,Hà Nội,Cửa hàng,Thực phẩm,1.0,170000.0,"170,000",128604.8586856698,TIEN_MAT,HOAN_TAT,0
T0034415,2025-06-29 05:15:31,C00369,TP HCM,Cửa hàng,Mỹ phẩm,1.0,441000.0,"441,000",352050.96962555975,THE,HOAN_TAT,0
T0021819,2025-04-24 04:06:27,C00625,Hà Nội,Cửa hàng,Thời trang,2.0,668000.0,"1,336,000",815847.0081038902,THE,HOAN_TAT,0
T0022593,2025-04-28 06:17:20,C00101,Hà Nội,Cửa hàng,Gia dụng,1.0,921000.0,"921,000",604900.7439672763,THE,HOAN_TAT,0
T0047161,2025-09-03 12:54:37,C01023,Hải Phòng,Cửa hàng,Gia dụng,1.0,738000.0,"738,000",590373.7319112928,TIEN_MAT,HOAN_TAT,0
T0045583,2025-08-26 11:33:33,C00667,TP HCM,Online,Sách,1.0,149000.0,"149,000",106750.64293500746,THE,HOAN_TAT,0
T0026972,2025-05-20 22:58:00,C03241,TP HCM,Cửa hàng,Mỹ phẩm,1.0,445000.0,"400,500",312578.18586407177,TIEN_MAT,HOAN_TAT,0
T0035440,2025-07-04 11:34:02,C01845,Hà Nội,Cửa hàng,Thực phẩm,2.0,158000.0,"284,400",188341.52754707256,VI_DIEN_TU,HOAN_TAT,0
T0049102,2025-09-13 12:39:01,C00087,TP HCM,Cửa hàng,Gia dụng,2.0,748000.0,"1,421,200",1005346.5374271403,THE,HOAN_TAT,0
T0015839,2025-03-24 06:36:46,C00451,TP HCM,Cửa hàng,Gia dụng,2.0,816000.0,"1,632,000",1259412.2869979062,VI_DIEN_TU,HOAN_TAT,0
T0045090,2025-08-23 21:56:38,C03758,Cần Thơ,Online,Sách,1.0,128000.0,"128,000",87264.6968150688,TIEN_MAT,HOAN_TAT,0
T0027918,2025-05-25 21:35:39,C03009,Hải Phòng,Online,Điện tử,1.0,986000.0,"936,700",773526.8662311245,VI_DIEN_TU,HOAN_TAT,0
T0024956,2025-05-10 14:41:23,C00141,Cần Thơ,Cửa hàng,Thực phẩm,3.0,186000.0,"530,100",427073.8279931268,THE,HOAN_TAT,0
T0051718,2025-09-27 01:11:58,C00418,Cần Thơ,Online,Thực phẩm,1.0,163000.0,"163,000",118555.08238672934,TIEN_MAT,HOAN_TAT,0
T0000359,2025-01-03 03:48:24,C07474,TP HCM,Cửa hàng,Gia dụng,2.0,860000.0,"1,720,000",1196435.34921959,THE,HOAN_TAT,0
T0046742,2025-09-01 09:01:49,C05449,TP HCM,Cửa hàng,Thời trang,4.0,680000.0,"2,584,000",2103505.8481296212,TIEN_MAT,HOAN_TAT,0
T0020448,2025-04-16 23:04:21,C03624,TP HCM,Online,  Gia dụng ,1.0,804000.0,"804,000",600107.2935492308,THE,HOAN_TAT,0
T0013732,2025-03-13 04:17:20,C07828,Đà Nẵng,Online,Mỹ phẩm,2.0,490000.0,"833,000",592917.1528225509,THE,HOAN_TAT,0
T0016501,2025-03-27 18:11:16,C03795,Cần Thơ,Cửa hàng,Thời trang,2.0,759000.0,"1,518,000",1270129.3315417843,THE,HOAN_TRA,0
T0053788,2025-10-07 21:37:11,C00785,Đà Nẵng,Cửa hàng,Gia dụng,4.0,898000.0,,2222304.67594548,THE,HOAN_TAT,0
T0034000,2025-06-27 01:16:10,C00116,Hà Nội,Online,Điện tử,1.0,937000.0,"796,450",,VI_DIEN_TU,HOAN_TAT,0
T0031954,2025-06-16 05:16:48,C00165,Hà Nội,Cửa hàng,Gia dụng,1.0,886000.0,"886,000",603702.9586498794,TIEN_MAT,HOAN_TAT,0
T0056740,2025-10-23 08:45:47,C03192,Hà Nội,Cửa hàng,Điện tử,5.0,1089000.0,"5,445,000",4338298.42680338,TIEN_MAT,HOAN_TAT,0
T0014946,2025-03-19 14:27:13,C00012,TP HCM,Online,Gia dụng,2.0,747000.0,"1,494,000",,TIEN_MAT,HOAN_TRA,0
T0024423,2025-05-07 19:20:02,C05619,Đà Nẵng,Online,Sách,1.0,154000.0,"154,000",117186.84723523466,VI_DIEN_TU,HOAN_TAT,0
T0043924,2025-08-17 21:15:04,C03021,Hà Nội,Online,Thực phẩm,1.0,162000.0,"162,000",,TIEN_MAT,HOAN_TAT,0
T0049020,2025-09-13 02:36:34,C06006,Hà Nội,Cửa hàng,Gia dụng,1.0,930000.0,"883,500",732968.1644062361,TIEN_MAT,HOAN_TAT,0
T0044750,2025-08-22 02:02:17,C00642,Đà Nẵng,Cửa hàng,Mỹ phẩm,5.0,419000.0,"2,095,000",1477904.6675572172,CHUYEN_KHOAN,HOAN_TAT,0
T0027287,2025-05-22 13:58:54,C04572,TP HCM,Online,  Gia dụng ,1.0,884000.0,"839,800",665569.4512405534,VI_DIEN_TU,HOAN_TAT,0
T0054158,2025-10-09 20:40:21,C00097,TP HCM,Cửa hàng,MỸ PHẨM,1.0,485000.0,"460,750",303400.6585996518,THE,HOAN_TRA,0
T0009298,2025-02-18 08:45:59,C00061,Cần Thơ,Cửa hàng,Mỹ phẩm,4.0,445000.0,"1,780,000",1142350.7327422805,CHUYEN_KHOAN,HOAN_TAT,0
T0043740,2025-08-16 21:44:22,C00173,TP HCM,Online,Sách,1.0,155000.0,"147,250",116890.33100635407,THE,HOAN_TAT,0
T0017142,2025-03-31 03:53:49,C01391,Hà Nội,Cửa hàng,Thời trang,1.0,712000.0,"712,000",480992.7965384084,CHUYEN_KHOAN,HOAN_TAT,0
T0029608,2025-06-04 01:14:08,C00436,Hải Phòng,Cửa hàng,Thời trang,1.0,849000.0,"849,000",,VI_DIEN_TU,HOAN_TAT,0
T0042008,2025-08-07 19:35:28,C00130,TP HCM,Online,Thực phẩm,1.0,172000.0,"146,200",,VI_DIEN_TU,HOAN_TAT,0
T0042110,2025-08-08 08:37:42,C00447,TP HCM,Online,  Điện tử ,1.0,1238000.0,"1,238,000",915204.1782222755,CHUYEN_KHOAN,HOAN_TAT,0
