date,orders,revenue_trieu
2023-01-01,1049,567.3
2023-01-02,871,461.6
2023-01-03,957,502.3
2023-01-04,990,520.1
2023-01-05,938,478.5
2023-01-06,973,516.6
2023-01-07,1112,580.8
2023-01-08,1038,559.2
2023-01-09,929,483.0
2023-01-10,905,476.3
2023-01-11,973,521.8
2023-01-12,1002,530.4
2023-01-13,1029,543.9
2023-01-14,1136,601.3
2023-01-15,1138,575.8
2023-01-16,891,470.2
2023-01-17,945,500.6
2023-01-18,880,491.0
2023-01-19,993,534.3
2023-01-20,1027,543.8
2023-01-21,1084,579.6
2023-01-22,1093,556.9
2023-01-23,964,509.4
2023-01-24,969,492.8
2023-01-25,956,502.1
2023-01-26,977,513.7
2023-01-27,1054,555.7
2023-01-28,1123,590.9
2023-01-29,1141,577.9
2023-01-30,885,496.3
2023-01-31,967,535.3
2023-02-01,943,503.5
2023-02-02,973,511.7
2023-02-03,1029,532.3
2023-02-04,1144,596.1
2023-02-05,1114,591.4
2023-02-06,951,487.1
2023-02-07,942,482.1
2023-02-08,948,496.4
2023-02-09,1037,532.9
2023-02-10,1072,560.6
2023-02-11,1116,595.0
2023-02-12,1080,559.2
2023-02-13,940,493.3
2023-02-14,948,499.2
2023-02-15,1015,514.9
2023-02-16,958,536.6
2023-02-17,1011,550.8
2023-02-18,1105,596.9
2023-02-19,1077,571.8
2023-02-20,932,493.7
2023-02-21,927,507.7
2023-02-22,895,484.0
2023-02-23,956,514.3
2023-02-24,1083,537.4
2023-02-25,1132,572.2
2023-02-26,1062,564.6
2023-02-27,968,514.2
2023-02-28,882,479.5
2023-03-01,952,526.3
2023-03-02,925,488.4
2023-03-03,998,538.4
2023-03-04,1110,585.1
2023-03-05,1059,578.4
2023-03-06,928,498.4
2023-03-07,968,507.6
2023-03-08,961,500.8
2023-03-09,976,508.4
2023-03-10,1027,557.9
2023-03-11,1117,576.7
2023-03-12,1011,542.8
2023-03-13,896,463.0
2023-03-14,901,474.5
2023-03-15,942,513.7
2023-03-16,974,516.9
2023-03-17,1059,552.4
2023-03-18,1098,569.9
2023-03-19,1072,566.1
2023-03-20,973,492.1
2023-03-21,943,482.8
2023-03-22,963,510.2
2023-03-23,968,499.6
2023-03-24,1056,530.6
2023-03-25,1128,567.8
2023-03-26,993,538.7
2023-03-27,901,486.6
2023-03-28,943,476.9
2023-03-29,922,499.1
2023-03-30,949,517.1
2023-03-31,1018,542.0
2023-04-01,1119,583.4
2023-04-02,1052,555.2
2023-04-03,871,466.9
2023-04-04,896,480.5
2023-04-05,866,465.1
2023-04-06,888,478.9
2023-04-07,1020,506.6
2023-04-08,1052,550.0
2023-04-09,1087,560.6
2023-04-10,852,454.6
2023-04-11,891,471.6
2023-04-12,961,515.2
2023-04-13,874,494.9
2023-04-14,1205,652.5
2023-04-15,995,547.4
2023-04-16,981,546.0
2023-04-17,825,450.0
2023-04-18,923,468.5
2023-04-19,955,503.1
2023-04-20,918,466.4
2023-04-21,1019,530.7
2023-04-22,1092,564.6
2023-04-23,994,535.1
2023-04-24,844,437.2
2023-04-25,915,472.0
2023-04-26,1168,622.1
2023-04-27,960,497.7
2023-04-28,1001,519.4
2023-04-29,1098,585.3
2023-04-30,993,537.6
2023-05-01,808,440.9
