transaction_id,ts,store_id,city,category,product,quantity,unit_price,payment_method,customer_id
T0000001,2025-01-01 07:00:29,S01,Hà Nội,Điện tử,Bàn phím cơ,1,1390000,VI_DIEN_TU,C17871
T0000002,2025-01-01 07:00:52,S06,TP HCM,Thực phẩm,Gạo ST25 5kg,1,171000,TIEN_MAT,C06516
T0000003,2025-01-01 07:03:12,S01,Hà Nội,Thực phẩm,Cà phê rang xay,3,157000,VI_DIEN_TU,C22877
T0000004,2025-01-01 07:05:01,S01,Hà Nội,Thực phẩm,Dầu ăn 1L,2,59000,THE,C11764
T0000005,2025-01-01 07:06:30,S10,Bình Dương,Thực phẩm,Gạo ST25 5kg,1,191000,THE,C18090
T0000006,2025-01-01 07:07:46,S02,Hà Nội,Sách,Từ điển,1,339000,TIEN_MAT,C21669
T0000007,2025-01-01 07:08:45,S04,Đà Nẵng,Thời trang,Áo sơ mi,3,443000,THE,C11955
T0000008,2025-01-01 07:09:27,S07,TP HCM,Thực phẩm,Dầu ăn 1L,2,63000,TIEN_MAT,C20807
T0000009,2025-01-01 07:10:11,S10,Bình Dương,Thực phẩm,Dầu ăn 1L,1,58000,THE,C18251
T0000010,2025-01-01 07:11:08,S03,Hải Phòng,Thời trang,Áo sơ mi,1,401000,TIEN_MAT,C06914
T0000011,2025-01-01 07:12:29,S05,Huế,Gia dụng,Quạt điều hòa,4,2310000,TIEN_MAT,C08082
T0000012,2025-01-01 07:14:47,S04,Đà Nẵng,Gia dụng,Bộ dao nhà bếp,2,444000,CHUYEN_KHOAN,C04533
T0000013,2025-01-01 07:16:58,S02,Hà Nội,Thực phẩm,Gạo ST25 5kg,1,195000,VI_DIEN_TU,C19544
T0000014,2025-01-01 07:17:15,S10,Bình Dương,Thực phẩm,Mì gói thùng,1,138000,VI_DIEN_TU,C00377
T0000015,2025-01-01 07:17:45,S04,Đà Nẵng,Thời trang,Túi xách,2,1601000,TIEN_MAT,C05183
T0000016,2025-01-01 07:19:42,S06,TP HCM,Điện tử,Bàn phím cơ,2,1559000,TIEN_MAT,C20490
T0000017,2025-01-01 07:20:59,S08,TP HCM,Sách,Từ điển,1,325000,THE,C17379
T0000018,2025-01-01 07:21:00,S09,Cần Thơ,Thực phẩm,Cà phê rang xay,4,143000,VI_DIEN_TU,C10077
T0000019,2025-01-01 07:22:02,S06,TP HCM,Điện tử,Sạc dự phòng,1,578000,TIEN_MAT,C24924
T0000020,2025-01-01 07:24:19,S02,Hà Nội,Thời trang,Quần jeans,4,697000,THE,C19877
T0000021,2025-01-01 07:26:08,S07,TP HCM,Mỹ phẩm,Serum dưỡng da,2,884000,THE,C22010
T0000022,2025-01-01 07:27:44,S01,Hà Nội,Thực phẩm,Mì gói thùng,1,127000,TIEN_MAT,C18151
T0000023,2025-01-01 07:28:43,S02,Hà Nội,Thực phẩm,Gạo ST25 5kg,2,172000,CHUYEN_KHOAN,C10828
T0000024,2025-01-01 07:29:02,S01,Hà Nội,Thực phẩm,Sữa tươi thùng,1,349000,CHUYEN_KHOAN,C18712
T0000025,2025-01-01 07:31:04,S01,Hà Nội,Gia dụng,Quạt điều hòa,1,2465000,THE,C13880
T0000026,2025-01-01 07:32:50,S01,Hà Nội,Thực phẩm,Gạo ST25 5kg,5,190000,THE,C11119
T0000027,2025-01-01 07:33:18,S02,Hà Nội,Gia dụng,Ấm siêu tốc,1,392000,THE,C02471
T0000028,2025-01-01 07:35:12,S06,TP HCM,Sách,Từ điển,2,299000,TIEN_MAT,C03057
T0000029,2025-01-01 07:36:13,S09,Cần Thơ,Điện tử,Ổ cứng SSD 512GB,3,1286000,TIEN_MAT,C00071
T0000030,2025-01-01 07:37:53,S07,TP HCM,Gia dụng,Quạt điều hòa,2,2269000,VI_DIEN_TU,C21689
T0000031,2025-01-01 07:39:58,S07,TP HCM,Điện tử,Bàn phím cơ,1,1384000,TIEN_MAT,C10277
T0000032,2025-01-01 07:40:13,S02,Hà Nội,Điện tử,Ổ cứng SSD 512GB,3,1290000,CHUYEN_KHOAN,C02626
T0000033,2025-01-01 07:41:01,S01,Hà Nội,Điện tử,Tai nghe không dây,1,914000,VI_DIEN_TU,C08068
T0000034,2025-01-01 07:41:12,S03,Hải Phòng,Thực phẩm,Cà phê rang xay,2,158000,TIEN_MAT,C21946
T0000035,2025-01-01 07:42:33,S05,Huế,Gia dụng,Quạt điều hòa,2,2211000,CHUYEN_KHOAN,C02378
T0000036,2025-01-01 07:42:36,S02,Hà Nội,Thực phẩm,Mì gói thùng,1,138000,TIEN_MAT,C11437
T0000037,2025-01-01 07:42:54,S06,TP HCM,Sách,Giáo trình đại học,1,202000,TIEN_MAT,C21430
T0000038,2025-01-01 07:45:10,S10,Bình Dương,Điện tử,Sạc dự phòng,2,522000,TIEN_MAT,C03783
T0000039,2025-01-01 07:45:38,S07,TP HCM,Thời trang,Quần jeans,2,655000,TIEN_MAT,C20783
T0000040,2025-01-01 07:46:46,S01,Hà Nội,Thực phẩm,Sữa tươi thùng,3,362000,THE,C09067
T0000041,2025-01-01 07:46:58,S07,TP HCM,Điện tử,Chuột quang,1,327000,THE,C14015
T0000042,2025-01-01 07:47:01,S06,TP HCM,Điện tử,Chuột quang,3,322000,TIEN_MAT,C04177
T0000043,2025-01-01 07:47:12,S02,Hà Nội,Gia dụng,Nồi cơm điện,1,1255000,TIEN_MAT,C18347
T0000044,2025-01-01 07:48:57,S02,Hà Nội,Mỹ phẩm,Kem chống nắng,1,411000,VI_DIEN_TU,C05802
T0000045,2025-01-01 07:50:43,S07,TP HCM,Điện tử,Bàn phím cơ,1,1515000,VI_DIEN_TU,C08132
T0000046,2025-01-01 07:51:52,S06,TP HCM,Điện tử,Tai nghe không dây,1,873000,TIEN_MAT,C15084
T0000047,2025-01-01 07:53:22,S04,Đà Nẵng,Gia dụng,Ấm siêu tốc,2,372000,TIEN_MAT,C02275
T0000048,2025-01-01 07:54:34,S06,TP HCM,Thực phẩm,Mì gói thùng,5,125000,CHUYEN_KHOAN,C03780
T0000049,2025-01-01 07:55:41,S04,Đà Nẵng,Điện tử,Bàn phím cơ,2,1342000,VI_DIEN_TU,C14300
T0000050,2025-01-01 07:57:52,S05,Huế,Điện tử,Sạc dự phòng,1,513000,THE,C17644
T0000051,2025-01-01 07:58:43,S07,TP HCM,Thực phẩm,Gạo ST25 5kg,4,198000,VI_DIEN_TU,C04084
T0000052,2025-01-01 08:00:00,S06,TP HCM,Thực phẩm,Cà phê rang xay,2,150000,TIEN_MAT,C21789
T0000053,2025-01-01 08:01:38,S06,TP HCM,Thời trang,Quần jeans,1,692000,TIEN_MAT,C09402
T0000054,2025-01-01 08:02:32,S05,Huế,Thực phẩm,Mì gói thùng,1,130000,VI_DIEN_TU,C16751
T0000055,2025-01-01 08:04:34,S07,TP HCM,Sách,Sách thiếu nhi,1,77000,THE,C03061
T0000056,2025-01-01 08:05:35,S01,Hà Nội,Thời trang,Quần jeans,1,713000,CHUYEN_KHOAN,C20031
T0000057,2025-01-01 08:05:54,S06,TP HCM,Thực phẩm,Mì gói thùng,2,121000,TIEN_MAT,C21498
T0000058,2025-01-01 08:05:56,S08,TP HCM,Sách,Sách kỹ năng,1,133000,VI_DIEN_TU,C15223
T0000059,2025-01-01 08:06:09,S07,TP HCM,Thực phẩm,Gạo ST25 5kg,3,183000,CHUYEN_KHOAN,C19512
T0000060,2025-01-01 08:07:31,S06,TP HCM,Mỹ phẩm,Nước hoa mini,2,702000,VI_DIEN_TU,C17953
T0000061,2025-01-01 08:09:26,S08,TP HCM,Sách,Truyện tranh,2,44000,TIEN_MAT,C17082
T0000062,2025-01-01 08:11:31,S02,Hà Nội,Thực phẩm,Sữa tươi thùng,2,336000,TIEN_MAT,C17700
T0000063,2025-01-01 08:11:52,S02,Hà Nội,Điện tử,Chuột quang,1,314000,THE,C10843
T0000064,2025-01-01 08:14:11,S09,Cần Thơ,Thực phẩm,Gạo ST25 5kg,1,176000,THE,C22791
T0000065,2025-01-01 08:14:17,S04,Đà Nẵng,Sách,Từ điển,1,313000,VI_DIEN_TU,C13731
T0000066,2025-01-01 08:16:35,S06,TP HCM,Thời trang,Túi xách,3,1613000,TIEN_MAT,C15914
T0000067,2025-01-01 08:16:43,S09,Cần Thơ,Thực phẩm,Cà phê rang xay,3,160000,CHUYEN_KHOAN,C17503
T0000068,2025-01-01 08:16:50,S07,TP HCM,Mỹ phẩm,Serum dưỡng da,1,858000,TIEN_MAT,C15129
T0000069,2025-01-01 08:17:37,S04,Đà Nẵng,Điện tử,Ổ cứng SSD 512GB,1,1254000,VI_DIEN_TU,C09118
T0000070,2025-01-01 08:19:25,S01,Hà Nội,Gia dụng,Nồi cơm điện,2,1174000,CHUYEN_KHOAN,C07348
T0000071,2025-01-01 08:19:43,S02,Hà Nội,Sách,Sách kỹ năng,4,133000,TIEN_MAT,C04994
T0000072,2025-01-01 08:20:45,S07,TP HCM,Điện tử,Tai nghe không dây,1,899000,VI_DIEN_TU,C05499
T0000073,2025-01-01 08:21:15,S01,Hà Nội,Thời trang,Quần jeans,1,730000,TIEN_MAT,C22196
T0000074,2025-01-01 08:22:52,S07,TP HCM,Thực phẩm,Dầu ăn 1L,2,57000,TIEN_MAT,C09883
T0000075,2025-01-01 08:23:23,S05,Huế,Sách,Từ điển,1,334000,THE,C16580
T0000076,2025-01-01 08:24:51,S10,Bình Dương,Điện tử,Ổ cứng SSD 512GB,1,1356000,THE,C15065
T0000077,2025-01-01 08:25:31,S08,TP HCM,Thực phẩm,Mì gói thùng,1,137000,THE,C15844
T0000078,2025-01-01 08:27:31,S08,TP HCM,Thực phẩm,Mì gói thùng,3,123000,TIEN_MAT,C14772
T0000079,2025-01-01 08:28:34,S01,Hà Nội,Thời trang,Túi xách,1,1567000,VI_DIEN_TU,C05959
T0000080,2025-01-01 08:30:39,S07,TP HCM,Gia dụng,Máy xay sinh tố,3,740000,TIEN_MAT,C00333
T0000081,2025-01-01 08:32:52,S06,TP HCM,Mỹ phẩm,Sữa rửa mặt,1,234000,TIEN_MAT,C15601
T0000082,2025-01-01 08:34:58,S07,TP HCM,Thực phẩm,Gạo ST25 5kg,1,172000,TIEN_MAT,C19057
T0000083,2025-01-01 08:36:33,S06,TP HCM,Thực phẩm,Mì gói thùng,5,124000,THE,C14869
T0000084,2025-01-01 08:37:43,S01,Hà Nội,Gia dụng,Ấm siêu tốc,1,366000,THE,C24976
T0000085,2025-01-01 08:38:31,S08,TP HCM,Gia dụng,Quạt điều hòa,2,2265000,THE,C03295
T0000086,2025-01-01 08:39:21,S06,TP HCM,Gia dụng,Máy xay sinh tố,1,721000,TIEN_MAT,C01787
T0000087,2025-01-01 08:40:36,S01,Hà Nội,Thời trang,Quần jeans,2,695000,TIEN_MAT,C09318
T0000088,2025-01-01 08:42:37,S10,Bình Dương,Thực phẩm,Sữa tươi thùng,1,322000,THE,C02142
T0000089,2025-01-01 08:44:20,S02,Hà Nội,Thực phẩm,Mì gói thùng,1,130000,THE,C09957
T0000090,2025-01-01 08:44:42,S06,TP HCM,Mỹ phẩm,Sữa rửa mặt,1,247000,THE,C17124
T0000091,2025-01-01 08:46:20,S05,Huế,Thực phẩm,Cà phê rang xay,2,149000,THE,C01974
T0000092,2025-01-01 08:46:46,S01,Hà Nội,Mỹ phẩm,Kem chống nắng,1,392000,TIEN_MAT,C18088
T0000093,2025-01-01 08:47:06,S03,Hải Phòng,Điện tử,Ổ cứng SSD 512GB,2,1279000,TIEN_MAT,C23166
T0000094,2025-01-01 08:48:19,S03,Hải Phòng,Thời trang,Áo khoác gió,1,828000,VI_DIEN_TU,C19327
T0000095,2025-01-01 08:49:10,S03,Hải Phòng,Thực phẩm,Mì gói thùng,1,122000,TIEN_MAT,C01955
T0000096,2025-01-01 08:49:53,S03,Hải Phòng,Sách,Từ điển,2,332000,TIEN_MAT,C22567
T0000097,2025-01-01 08:51:11,S01,Hà Nội,Thời trang,Giày thể thao,1,1250000,TIEN_MAT,C14157
T0000098,2025-01-01 08:52:34,S08,TP HCM,Thực phẩm,Gạo ST25 5kg,4,172000,THE,C00680
T0000099,2025-01-01 08:53:43,S09,Cần Thơ,Thực phẩm,Dầu ăn 1L,2,61000,TIEN_MAT,C19181
