customer_id,recency,frequency,monetary,avg_transaction,cluster_kmeans,cluster_gmm,segment_name
C00001,1,643,628184874.6500636,976959.3695957444,0,2,TODO: đặt tên nhóm 0
C00002,1,439,422404011.0,962195.9248291572,0,2,TODO: đặt tên nhóm 0
C00003,1,344,370743062.7638229,1077741.461522741,0,2,TODO: đặt tên nhóm 0
C00004,1,306,321978608.44229007,1052217.6746480067,0,2,TODO: đặt tên nhóm 0
C00005,3,265,276176920.0,1042177.0566037736,0,2,TODO: đặt tên nhóm 0
C00006,1,224,245159494.8790549,1094462.0307100664,0,2,TODO: đặt tên nhóm 0
C00007,1,207,185650850.0,896864.0096618357,0,2,TODO: đặt tên nhóm 0
C00008,3,217,227769427.0,1049628.6958525346,0,2,TODO: đặt tên nhóm 0
C00009,5,166,162832721.0,980920.0060240964,0,2,TODO: đặt tên nhóm 0
C00010,1,155,184417833.0,1189792.470967742,0,2,TODO: đặt tên nhóm 0
C00011,1,139,151886004.0,1092705.0647482015,0,2,TODO: đặt tên nhóm 0
C00012,6,152,157841124.52086565,1038428.4507951688,0,2,TODO: đặt tên nhóm 0
C00013,2,127,144081299.0,1134498.4173228347,0,2,TODO: đặt tên nhóm 0
C00014,1,124,104887153.0,845864.1370967742,0,2,TODO: đặt tên nhóm 0
C00015,1,135,127490283.0,944372.4666666667,0,2,TODO: đặt tên nhóm 0
C00016,5,131,138841550.0,1059859.1603053436,0,2,TODO: đặt tên nhóm 0
C00017,1,138,123435431.0,894459.6449275363,0,2,TODO: đặt tên nhóm 0
C00018,1,114,112088600.0,983233.3333333334,0,2,TODO: đặt tên nhóm 0
C00019,3,107,116357699.0,1087455.1308411215,0,2,TODO: đặt tên nhóm 0
C00020,1,113,101251400.0,896030.0884955752,0,2,TODO: đặt tên nhóm 0
C00021,12,91,78624850.0,864009.3406593406,0,2,TODO: đặt tên nhóm 0
C00022,8,106,115658350.0,1091116.5094339622,0,2,TODO: đặt tên nhóm 0
C00023,2,102,103919324.0,1018816.9019607843,0,2,TODO: đặt tên nhóm 0
C00024,4,96,86460300.0,900628.125,0,2,TODO: đặt tên nhóm 0
C00025,1,81,113445489.0,1400561.5925925926,0,2,TODO: đặt tên nhóm 0
C00026,3,97,88899650.0,916491.2371134021,0,2,TODO: đặt tên nhóm 0
C00027,3,92,86989947.0,945542.9021739131,0,2,TODO: đặt tên nhóm 0
C00028,10,81,80035016.0,988086.6172839506,0,2,TODO: đặt tên nhóm 0
C00029,2,86,87911836.0,1022230.6511627907,0,2,TODO: đặt tên nhóm 0
C00030,16,88,98983550.0,1124813.0681818181,0,2,TODO: đặt tên nhóm 0
C00031,4,70,74684765.0,1066925.2142857143,0,2,TODO: đặt tên nhóm 0
C00032,2,78,88197584.0,1130738.2564102565,0,2,TODO: đặt tên nhóm 0
C00033,9,87,95788550.0,1101017.816091954,0,2,TODO: đặt tên nhóm 0
C00034,1,82,88228074.0,1075952.1219512196,0,2,TODO: đặt tên nhóm 0
C00035,5,78,92157600.0,1181507.6923076923,0,2,TODO: đặt tên nhóm 0
C00036,3,80,74765840.0,934573.0,0,2,TODO: đặt tên nhóm 0
C00037,3,83,78178950.0,941915.0602409638,0,2,TODO: đặt tên nhóm 0
C00038,5,70,74276801.88243699,1061097.1697490998,0,2,TODO: đặt tên nhóm 0
C00039,3,69,80574275.0,1167743.115942029,0,2,TODO: đặt tên nhóm 0
C00040,4,74,66873555.0,903696.6891891892,0,2,TODO: đặt tên nhóm 0
C00041,1,80,88934627.0,1111682.8375,0,2,TODO: đặt tên nhóm 0
C00042,7,71,63097081.0,888691.2816901408,0,2,TODO: đặt tên nhóm 0
C00043,1,78,85527444.0,1096505.6923076923,0,2,TODO: đặt tên nhóm 0
C00044,3,59,71289775.0,1208301.2711864407,0,2,TODO: đặt tên nhóm 0
C00045,3,82,75896250.0,925564.0243902439,0,2,TODO: đặt tên nhóm 0
C00046,2,66,60632950.0,918681.0606060605,0,2,TODO: đặt tên nhóm 0
C00047,9,62,50179400.0,809345.1612903225,0,2,TODO: đặt tên nhóm 0
C00048,7,69,69481750.0,1006981.8840579711,0,2,TODO: đặt tên nhóm 0
C00049,10,73,77750010.0,1065068.6301369863,0,2,TODO: đặt tên nhóm 0
C00050,5,59,56337346.0,954870.2711864407,0,2,TODO: đặt tên nhóm 0
C00051,12,62,69605314.0,1122666.3548387096,0,2,TODO: đặt tên nhóm 0
C00052,1,63,68041531.0,1080024.3015873015,0,2,TODO: đặt tên nhóm 0
C00053,2,60,67685750.0,1128095.8333333333,0,2,TODO: đặt tên nhóm 0
C00054,6,81,86490650.0,1067785.8024691357,0,2,TODO: đặt tên nhóm 0
C00055,13,55,68004156.62788762,1236439.2114161386,0,2,TODO: đặt tên nhóm 0
C00056,12,59,66301381.0,1123752.220338983,0,2,TODO: đặt tên nhóm 0
C00057,2,66,51335050.0,777803.7878787878,0,2,TODO: đặt tên nhóm 0
C00058,12,77,86672200.0,1125612.987012987,0,2,TODO: đặt tên nhóm 0
C00059,15,52,35966250.0,691658.6538461539,0,2,TODO: đặt tên nhóm 0
C00060,1,50,48117600.0,962352.0,0,2,TODO: đặt tên nhóm 0
C00061,2,55,60068000.0,1092145.4545454546,0,2,TODO: đặt tên nhóm 0
C00062,3,60,58823450.0,980390.8333333334,0,2,TODO: đặt tên nhóm 0
C00063,13,52,53211350.0,1023295.1923076923,0,2,TODO: đặt tên nhóm 0
C00064,11,47,38499150.0,819130.8510638297,0,2,TODO: đặt tên nhóm 0
C00065,1,53,69697650.27299803,1315050.0051509063,0,2,TODO: đặt tên nhóm 0
C00066,8,51,58388555.0,1144873.6274509805,0,2,TODO: đặt tên nhóm 0
C00067,5,60,65183650.0,1086394.1666666667,0,2,TODO: đặt tên nhóm 0
C00068,1,55,53856752.0,979213.6727272727,0,2,TODO: đặt tên nhóm 0
C00069,7,55,55398250.0,1007240.9090909091,0,2,TODO: đặt tên nhóm 0
C00070,4,48,55012400.0,1146091.6666666667,0,2,TODO: đặt tên nhóm 0
C00071,2,53,45197200.0,852777.358490566,0,2,TODO: đặt tên nhóm 0
C00072,11,50,47094200.0,941884.0,0,2,TODO: đặt tên nhóm 0
C00073,16,46,40016319.0,869919.9782608695,0,2,TODO: đặt tên nhóm 0
C00074,22,52,51210325.0,984813.9423076923,0,2,TODO: đặt tên nhóm 0
C00075,6,46,51571573.0,1121121.152173913,0,2,TODO: đặt tên nhóm 0
C00076,14,40,39943800.0,998595.0,0,2,TODO: đặt tên nhóm 0
C00077,15,51,41831550.0,820226.4705882353,0,2,TODO: đặt tên nhóm 0
C00078,14,51,40036376.0,785026.9803921569,0,2,TODO: đặt tên nhóm 0
C00079,5,45,55744899.0,1238775.5333333334,0,2,TODO: đặt tên nhóm 0
C00080,6,46,55695400.0,1210769.5652173914,0,2,TODO: đặt tên nhóm 0
C00081,30,40,40118952.0,1002973.8,0,2,TODO: đặt tên nhóm 0
C00082,4,43,44365300.0,1031751.1627906977,0,2,TODO: đặt tên nhóm 0
C00083,6,55,52610928.0,956562.3272727273,0,2,TODO: đặt tên nhóm 0
C00084,1,39,31341650.0,803632.0512820513,0,2,TODO: đặt tên nhóm 0
C00085,6,52,46209800.0,888650.0,0,2,TODO: đặt tên nhóm 0
C00086,7,49,48171000.0,983081.6326530612,0,2,TODO: đặt tên nhóm 0
C00087,4,42,55233449.0,1315082.119047619,0,2,TODO: đặt tên nhóm 0
C00088,10,42,55125041.0,1312500.9761904762,0,2,TODO: đặt tên nhóm 0
C00089,2,49,41540900.0,847773.4693877551,0,2,TODO: đặt tên nhóm 0
C00090,4,43,49091936.10108663,1141672.93258341,0,2,TODO: đặt tên nhóm 0
C00091,1,41,46001672.0,1121992.0,0,2,TODO: đặt tên nhóm 0
C00092,6,37,46384650.0,1253639.189189189,0,2,TODO: đặt tên nhóm 0
C00093,2,46,38135800.0,829039.1304347826,0,2,TODO: đặt tên nhóm 0
C00094,4,52,56627855.0,1088997.2115384615,0,2,TODO: đặt tên nhóm 0
C00095,8,35,26826650.0,766475.7142857143,0,2,TODO: đặt tên nhóm 0
C00096,1,42,34947750.0,832089.2857142857,0,2,TODO: đặt tên nhóm 0
C00097,7,39,48456382.0,1242471.3333333333,0,2,TODO: đặt tên nhóm 0
C00098,2,43,33167500.0,771337.2093023256,0,2,TODO: đặt tên nhóm 0
C00099,2,48,39891850.0,831080.2083333334,0,2,TODO: đặt tên nhóm 0
C00100,20,44,40033550.0,909853.4090909091,0,2,TODO: đặt tên nhóm 0
C00101,6,36,35171950.0,976998.6111111111,0,2,TODO: đặt tên nhóm 0
C00102,24,27,31155250.0,1153898.148148148,0,2,TODO: đặt tên nhóm 0
C00103,7,41,69600814.0,1697580.8292682928,0,2,TODO: đặt tên nhóm 0
C00104,26,32,32188550.0,1005892.1875,0,2,TODO: đặt tên nhóm 0
C00105,13,31,26993500.0,870758.0645161291,0,2,TODO: đặt tên nhóm 0
C00106,14,43,45551500.0,1059337.2093023255,0,2,TODO: đặt tên nhóm 0
C00107,1,41,33943250.0,827884.1463414634,0,2,TODO: đặt tên nhóm 0
C00108,3,36,26516400.0,736566.6666666666,0,2,TODO: đặt tên nhóm 0
C00109,2,42,39499500.0,940464.2857142857,0,2,TODO: đặt tên nhóm 0
C00110,22,35,37516100.0,1071888.5714285714,0,2,TODO: đặt tên nhóm 0
C00111,13,30,28685700.0,956190.0,0,2,TODO: đặt tên nhóm 0
C00112,5,47,45881900.0,976210.6382978724,0,2,TODO: đặt tên nhóm 0
C00113,17,30,27104550.0,903485.0,0,2,TODO: đặt tên nhóm 0
C00114,5,43,35967610.0,836456.0465116279,0,2,TODO: đặt tên nhóm 0
C00115,2,52,59863700.0,1151225.0,0,2,TODO: đặt tên nhóm 0
C00116,21,29,45011032.0,1552104.551724138,0,2,TODO: đặt tên nhóm 0
C00117,4,40,33244100.0,831102.5,0,2,TODO: đặt tên nhóm 0
C00118,1,41,38587600.0,941160.9756097561,0,2,TODO: đặt tên nhóm 0
C00119,26,37,32099150.0,867544.5945945946,0,2,TODO: đặt tên nhóm 0
C00120,3,36,42291150.0,1174754.1666666667,0,2,TODO: đặt tên nhóm 0
C00121,10,30,31050550.0,1035018.3333333334,0,2,TODO: đặt tên nhóm 0
C00122,2,46,49848700.0,1083667.391304348,0,2,TODO: đặt tên nhóm 0
C00123,9,37,39308500.0,1062391.8918918918,0,2,TODO: đặt tên nhóm 0
C00124,1,38,35206050.0,926475.0,0,2,TODO: đặt tên nhóm 0
C00125,1,37,34652750.0,936560.8108108108,0,2,TODO: đặt tên nhóm 0
C00126,3,39,34233100.0,877771.7948717949,0,2,TODO: đặt tên nhóm 0
C00127,3,40,48575400.0,1214385.0,0,2,TODO: đặt tên nhóm 0
C00128,29,26,39690660.0,1526563.8461538462,0,2,TODO: đặt tên nhóm 0
C00129,15,37,36623383.0,989821.1621621621,0,2,TODO: đặt tên nhóm 0
C00130,8,46,39185250.0,851853.2608695652,0,2,TODO: đặt tên nhóm 0
C00131,1,30,29730350.0,991011.6666666666,0,2,TODO: đặt tên nhóm 0
C00132,1,41,40021550.0,976135.3658536585,0,2,TODO: đặt tên nhóm 0
C00133,3,45,56981096.0,1266246.5777777778,0,2,TODO: đặt tên nhóm 0
C00134,16,28,24669150.0,881041.0714285715,0,2,TODO: đặt tên nhóm 0
C00135,9,20,16034150.0,801707.5,0,2,TODO: đặt tên nhóm 0
C00136,25,30,30201955.0,1006731.8333333334,0,2,TODO: đặt tên nhóm 0
C00137,1,33,35347000.0,1071121.2121212122,0,2,TODO: đặt tên nhóm 0
C00138,7,29,25877600.0,892331.0344827586,0,2,TODO: đặt tên nhóm 0
C00139,15,26,14923150.0,573967.3076923077,0,2,TODO: đặt tên nhóm 0
C00140,7,29,26510158.0,914143.3793103448,0,2,TODO: đặt tên nhóm 0
C00141,51,33,33727050.0,1022031.8181818182,0,2,TODO: đặt tên nhóm 0
C00142,3,31,48124109.0,1552390.6129032257,0,2,TODO: đặt tên nhóm 0
C00143,8,42,38021900.0,905283.3333333334,0,2,TODO: đặt tên nhóm 0
C00144,14,30,27375259.0,912508.6333333333,0,2,TODO: đặt tên nhóm 0
C00145,14,28,23313100.0,832610.7142857143,0,2,TODO: đặt tên nhóm 0
C00146,18,36,38140650.0,1059462.5,0,2,TODO: đặt tên nhóm 0
C00147,16,32,38451834.0,1201619.8125,0,2,TODO: đặt tên nhóm 0
C00148,5,34,25716700.0,756373.5294117647,0,2,TODO: đặt tên nhóm 0
C00149,29,30,23519550.0,783985.0,0,2,TODO: đặt tên nhóm 0
C00150,8,26,32332739.847608235,1243566.9172157014,0,2,TODO: đặt tên nhóm 0
C00151,7,31,27085100.0,873712.9032258064,0,2,TODO: đặt tên nhóm 0
